"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","280","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","280","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","359","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","359","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","429","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","429","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","468","24","ERROR","命名空间不能为空","return Results.BadRequest(new ErrorResponse(""命名空间不能为空"", ""VALIDATION_ERROR""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","468","47","ERROR","命名空间不能为空","return Results.BadRequest(new ErrorResponse(""命名空间不能为空"", ""VALIDATION_ERROR""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","471","24","ERROR","实体名不能为空","return Results.BadRequest(new ErrorResponse(""实体名不能为空"", ""VALIDATION_ERROR""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","471","47","ERROR","实体名不能为空","return Results.BadRequest(new ErrorResponse(""实体名不能为空"", ""VALIDATION_ERROR""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","477","24","ERROR","显示名至少需要提供一种语言的文本","return Results.BadRequest(new ErrorResponse(""显示名至少需要提供一种语言的文本"", ""VALIDATION_ERROR""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","477","47","ERROR","显示名至少需要提供一种语言的文本","return Results.BadRequest(new ErrorResponse(""显示名至少需要提供一种语言的文本"", ""VALIDATION_ERROR""));","I18n.T(""ERR_XXX"")"
